ID,TYPE,SEQ,SEGMENT,ISEQ,GEOMETRY,REAL_TIMESTAMP,ACCURACY,USER_ID,UTM32,SLICE1M,SLICE2M,SLICE5M,SLICE15M,SLICE1H,SLICE2H,GRIDX,GRIDY,HIT,HIT2,SEG_DIST,SEG_DIST_COR,SEG_SEC,SEG_MOVE,SEG_SPEED,stay,lowspeed,walk,run,SEG_SPEED_COR,SEG_SPEED_MAX,HITA15,HITMA15
182765393,1,682,73,14,0xE6100000010C1EEE5D7299272840FA8DC01929CF4B40,2016-06-26 00:02:00.000,5,38561,0x787F0000010C00000000282C2541000000C059875741,6260002,6260002,6260000,6260000,6260000,6260000,313,662,14,NULL,129,119,890,1,0.133707865168,0,0,1,0,0.133707865168,0.144943820224,8,3
182765401,1,415,118,8,0xE6100000010C9F367CECF4222840C28B80B773CF4B40,2016-06-29 03:51:00.000,26,28234,0x787F0000010C000000009C272541000000C092875741,6290351,6290350,6290350,6290345,6290300,6290200,254,684,32,NULL,64,0,609,1,0,0,0,1,0,0,0.105090311986,3,3
182765409,0,683,73,15,0xE6100000010C50AFC74CAF2728406C2A976B2ACF4B40,2016-06-26 00:03:11.000,5,38561,0x787F0000010C2E94F1973C2C2541991781FC5A875741,6260003,6260002,6260000,6260000,6260000,6260000,314,663,14,NULL,129,119,890,1,0.133707865168,0,0,1,0,0.133707865168,0.144943820224,8,3
182765410,1,2967,650,2,0xE6100000010CD43673ADE62C28409A1A9A1E54CE4B40,2016-06-29 18:05:00.000,39,33008,0x787F0000010C000000008031254100000040AC865741,6291805,6291804,6291805,6291800,6291800,6291800,381,592,7,NULL,20,0,154,0,0,1,0,0,0,0,0.12987012987,13,3
182765417,0,2968,650,3,0xE6100000010CB0D92CAED92C28401052061152CE4B40,2016-06-29 18:06:16.000,10,33008,0x787F0000010C0C98AA2274312541ED7F3170AA865741,6291806,6291806,6291805,6291800,6291800,6291800,381,592,7,NULL,20,0,154,0,0,1,0,0,0,0,0.12987012987,13,3
182765423,1,416,118,9,0xE6100000010CD1091A1E012328402649B8C172CF4B40,2016-06-29 03:52:00.000,20,28234,0x787F0000010C00000000A82725410000000092875741,6290352,6290352,6290350,6290345,6290300,6290200,255,684,32,NULL,64,0,609,1,0,0,0,1,0,0,0.105090311986,3,3
182765430,0,684,74,1,0xE6100000010CE06787E36727284000F71601F7CE4B40,2016-06-26 01:18:15.000,5,38561,0x787F0000010C7703007D072C25417CA7F8F82E875741,6260118,6260118,6260115,6260115,6260100,6260000,311,645,12,NULL,178,168,4504,1,0.037300177619,0,0,1,0,0.037300177619,0.039520426287,NULL,3
181202617,1,1986,288,6,0xE6100000010C59F64826A52C284018BEAB4B0ACF4B40,2016-06-28 12:56:00.000,6,4950,0x787F0000010C000000000A3125410000008046875741,6281256,6281256,6281255,6281245,6281200,6281200,375,654,39,NULL,20,5,449,0,0.011135857461,1,0,0,0,0.011135857461,0.044543429844,16,3
230025113,1,3274,569,5,0xE6100000010CF6BDCEA4EC232840EC02B11E7ACF4B40,2016-07-01 05:57:00.000,42,15124,0x787F0000010C00000000882825410000008099875741,7010557,7010556,7010555,7010545,7010500,7010400,266,687,32,NULL,12,0,611,0,0,1,0,0,0,0,0.019639934533,3,3
230025127,1,3275,569,6,0xE6100000010C3A493779EA232840BA75C1D679CF4B40,2016-07-01 05:58:00.000,37,15124,0x787F0000010C00000000862825410000004099875741,7010558,7010558,7010555,7010545,7010500,7010400,266,687,32,NULL,12,0,611,0,0,1,0,0,0,0,0.019639934533,3,3
230025130,1,1831,264,3,0xE6100000010C3F0582C4F62A2840F624EF2D55CF4B40,2016-06-29 20:34:00.000,20,10368,0x787F0000010C00000000562F2541000000C083875741,6292034,6292034,6292030,6292030,6292000,6292000,353,678,44,10,121,46,747,1,0.061579651941,0,0,1,0,0.061579651941,0.161981258366,39,2
230025140,1,1832,264,4,0xE6100000010C68DB0C9DF52A28407C7DF22158CF4B40,2016-06-29 20:35:00.000,24,10368,0x787F0000010C00000000542F25410000004086875741,6292035,6292034,6292035,6292030,6292000,6292000,353,679,44,10,121,46,747,1,0.061579651941,0,0,1,0,0.061579651941,0.161981258366,39,2
230025144,1,3276,569,7,0xE6100000010C5FE49F4DE82328403FE7D18E79CF4B40,2016-07-01 05:59:00.000,31,15124,0x787F0000010C00000000842825410000000099875741,7010559,7010558,7010555,7010545,7010500,7010400,266,687,32,NULL,12,0,611,0,0,1,0,0,0,0,0.019639934533,3,3
230025149,1,1833,264,5,0xE6100000010C6073EF5DF42A28401E93B1CA5ACF4B40,2016-06-29 20:36:00.000,28,10368,0x787F0000010C00000000522F25410000008088875741,6292036,6292036,6292035,6292030,6292000,6292000,353,680,44,NULL,121,46,747,1,0.061579651941,0,0,1,0,0.061579651941,0.161981258366,39,2
230025161,1,1834,264,6,0xE6100000010C3CB87936F32A28403FEAB4BE5DCF4B40,2016-06-29 20:37:00.000,33,10368,0x787F0000010C00000000502F2541000000008B875741,6292037,6292036,6292035,6292030,6292000,6292000,353,681,44,NULL,121,46,747,1,0.061579651941,0,0,1,0,0.061579651941,0.161981258366,39,2
230025163,1,3277,569,8,0xE6100000010CD5B91236E823284012668D4379CF4B40,2016-07-01 06:00:00.000,26,15124,0x787F0000010C0000000084282541000000C098875741,7010600,7010600,7010600,7010600,7010600,7010600,266,687,32,NULL,12,0,611,0,0,1,0,0,0,0,0.019639934533,3,3
230025170,1,1835,264,7,0xE6100000010CC9E5FDFAEF2A2840EA0011B660CF4B40,2016-06-29 20:38:00.000,37,10368,0x787F0000010C000000004C2F2541000000808D875741,6292038,6292038,6292035,6292030,6292000,6292000,353,682,44,NULL,121,46,747,1,0.061579651941,0,0,1,0,0.061579651941,0.161981258366,39,2
230025180,1,1836,264,8,0xE6100000010C555ADFBBEE2A28400B14D05E63CF4B40,2016-06-29 20:39:00.000,42,10368,0x787F0000010C000000004A2F2541000000C08F875741,6292039,6292038,6292035,6292030,6292000,6292000,353,683,44,NULL,121,46,747,1,0.061579651941,0,0,1,0,0.061579651941,0.161981258366,NULL,2
181202622,0,1987,288,7,0xE6100000010CB0A92CB1A92C284030092F3109CF4B40,2016-06-28 12:57:42.000,5,4950,0x787F0000010CA51E96B20E312541DDCF7C9645875741,6281257,6281256,6281255,6281245,6281200,6281200,376,654,39,NULL,20,5,449,0,0.011135857461,1,0,0,0,0.011135857461,0.044543429844,16,3
181202634,1,15,2,14,0xE6100000010C96172DED2D2D28401B41CB63A4D14B40,2016-06-25 18:43:00.000,7,3407,0x787F0000010C00000000C4302541000000807C895741,6251843,6251842,6251840,6251830,6251800,6251800,372,880,NULL,NULL,32,17,1803,0,0.009428729894,0,1,0,0,0.009428729894,0.017748197448,NULL,NULL
181202653,1,1988,289,1,0xE6100000010C75B289EFA82C2840469DE71709CF4B40,2016-06-28 12:58:00.000,5,4950,0x787F0000010C000000000E3125410000008045875741,6281258,6281258,6281255,6281245,6281200,6281200,375,654,39,NULL,2,0,150,0,0,1,0,0,0,0,0.013333333333,16,3
181202657,1,16,2,15,0xE6100000010CA8FC9EF02B2D2840BA8469B2A4D14B40,2016-06-25 18:44:00.000,7,3407,0x787F0000010C00000000C2302541000000C07C895741,6251844,6251844,6251840,6251830,6251800,6251800,371,880,NULL,NULL,32,17,1803,0,0.009428729894,0,1,0,0,0.009428729894,0.017748197448,NULL,NULL
181202670,1,1989,289,2,0xE6100000010CF6D82DC0A82C2840C6335F8108CF4B40,2016-06-28 12:59:00.000,5,4950,0x787F0000010C000000000E3125410000000045875741,6281259,6281258,6281255,6281245,6281200,6281200,375,653,39,NULL,2,0,150,0,0,1,0,0,0,0,0.013333333333,16,3
181202677,0,1990,289,3,0xE6100000010C20A9EC1EA92C28406C084F6C08CF4B40,2016-06-28 13:00:12.000,5,4950,0x787F0000010C09439A610E31254102B3A1EE44875741,6281300,6281300,6281300,6281300,6281300,6281200,376,654,39,NULL,2,0,150,0,0,1,0,0,0,0,0.013333333333,16,3
