ID,TYPE,SEQ,SEGMENT,ISEQ,GEOMETRY,REAL_TIMESTAMP,ACCURACY,USER_ID,UTM32,SLICE1M,SLICE2M,SLICE5M,SLICE15M,SLICE1H,SLICE2H,GRIDX,GRIDY,HIT,HIT2,SEG_DIST,SEG_DIST_COR,SEG_SEC,SEG_MOVE,SEG_SPEED,SEG_SPEED_MAX,SEG_SPEED_COR,stay,lowspeed,walk,run
138379256,1,830,169,6,0xE6100000010C6E3F278E28242840AB37FBE5D8CE4B40,2015-06-29 09:40:00.000,40,35171,0x787F0000010C00000000F22825410000000011875741,6290940,6290940,6290940,6290930,6290900,6290800,271,633,7,3,20,0,603,0,0,0.033167495854,0,1,0,0,0
138379275,1,831,169,7,0xE6100000010CD2340D5F28242840E631724FD8CE4B40,2015-06-29 09:41:00.000,34,35171,0x787F0000010C00000000F22825410000008010875741,6290941,6290940,6290940,6290930,6290900,6290800,271,632,7,3,20,0,603,0,0,0.033167495854,0,1,0,0,0
138379296,1,832,169,8,0xE6100000010CB02DF32F28242840182CE9B8D7CE4B40,2015-06-29 09:42:00.000,27,35171,0x787F0000010C00000000F22825410000000010875741,6290942,6290942,6290940,6290930,6290900,6290800,271,632,7,3,20,0,603,0,0,0.033167495854,0,1,0,0,0
138379314,1,833,169,9,0xE6100000010CE31CD2142A242840D91D0B1FD7CE4B40,2015-06-29 09:43:00.000,21,35171,0x787F0000010C00000000F4282541000000800F875741,6290943,6290942,6290940,6290930,6290900,6290800,272,632,7,3,20,0,603,0,0,0.033167495854,0,1,0,0,0
138379325,1,834,169,10,0xE6100000010CD70CB8E5292428401A188288D6CE4B40,2015-06-29 09:44:00.000,14,35171,0x787F0000010C00000000F4282541000000000F875741,6290944,6290944,6290940,6290930,6290900,6290800,272,632,7,3,20,0,603,0,0,0.033167495854,0,1,0,0,0
138379328,0,835,169,11,0xE6100000010C3D0E83F92B242840F2272A1BD6CE4B40,2015-06-29 09:45:02.000,8,35171,0x787F0000010C2EECE91FF6282541EABD08A60E875741,6290945,6290944,6290945,6290945,6290900,6290800,272,632,7,3,20,0,603,0,0,0.033167495854,0,1,0,0,0
138379331,0,836,170,1,0xE6100000010C8B355CE49E2628405516855D14CF4B40,2015-06-29 10:00:04.000,8,35171,0x787F0000010CF66F28953D2B2541E1BCA9D146875741,6291000,6291000,6291000,6291000,6291000,6291000,301,655,42,3,368,352,902,1,0.390243902439,0.40798226164,0.390243902439,0,0,1,0
68099868,1,6101,1121,5,0xE6100000010C34284C7340272840F5B3152781CF4B40,2015-07-03 01:18:00.000,44,36270,0x787F0000010C00000000B82B254100000000A4875741,7030118,7030118,7030115,7030115,7030100,7030000,307,691,38,2,89,32,2697,1,0.011865035224,0.032999629217,0.011865035224,0,0,1,0
68099899,1,6102,1121,6,0xE6100000010C49D2374B3C2728403B37C32D81CF4B40,2015-07-03 01:19:00.000,43,36270,0x787F0000010C00000000B42B254100000000A4875741,7030119,7030118,7030115,7030115,7030100,7030000,307,691,38,2,89,32,2697,1,0.011865035224,0.032999629217,0.011865035224,0,0,1,0
68099973,1,6103,1121,7,0xE6100000010C0790890B38272840F0522CE980CF4B40,2015-07-03 01:20:00.000,42,36270,0x787F0000010C00000000B02B2541000000C0A3875741,7030120,7030120,7030120,7030115,7030100,7030000,307,691,38,2,89,32,2697,1,0.011865035224,0.032999629217,0.011865035224,0,0,1,0
68100000,1,6104,1121,8,0xE6100000010C034375E3332728400FCDD9EF80CF4B40,2015-07-03 01:21:00.000,41,36270,0x787F0000010C00000000AC2B2541000000C0A3875741,7030121,7030120,7030120,7030115,7030100,7030000,306,691,38,2,89,32,2697,1,0.011865035224,0.032999629217,0.011865035224,0,0,1,0
68100025,1,6105,1121,9,0xE6100000010C82F260BB2F272840AD4287F680CF4B40,2015-07-03 01:22:00.000,41,36270,0x787F0000010C00000000A82B2541000000C0A3875741,7030122,7030122,7030120,7030115,7030100,7030000,306,691,38,2,89,32,2697,1,0.011865035224,0.032999629217,0.011865035224,0,0,1,0
68100046,1,6106,1121,10,0xE6100000010C2FE6B27B2B2728404850F0B180CF4B40,2015-07-03 01:23:00.000,40,36270,0x787F0000010C00000000A42B254100000080A3875741,7030123,7030122,7030120,7030115,7030100,7030000,306,691,38,2,89,32,2697,1,0.011865035224,0.032999629217,0.011865035224,0,0,1,0
68100102,1,6107,1121,11,0xE6100000010C949E9E5327272840BFBC9DB880CF4B40,2015-07-03 01:24:00.000,39,36270,0x787F0000010C00000000A02B254100000080A3875741,7030124,7030124,7030120,7030115,7030100,7030000,306,691,38,2,89,32,2697,1,0.011865035224,0.032999629217,0.011865035224,0,0,1,0
68100141,1,6108,1121,12,0xE6100000010C7E538A2B23272840B7244BBF80CF4B40,2015-07-03 01:25:00.000,38,36270,0x787F0000010C000000009C2B254100000080A3875741,7030125,7030124,7030125,7030115,7030100,7030000,306,691,38,2,89,32,2697,1,0.011865035224,0.032999629217,0.011865035224,0,0,1,0
68100170,1,6109,1121,13,0xE6100000010C187DDCEB1E2728403624B47A80CF4B40,2015-07-03 01:26:00.000,37,36270,0x787F0000010C00000000982B254100000040A3875741,7030126,7030126,7030125,7030115,7030100,7030000,305,691,38,2,89,32,2697,1,0.011865035224,0.032999629217,0.011865035224,0,0,1,0
68100200,1,6110,1121,14,0xE6100000010CE93AC8C31A2728400783618180CF4B40,2015-07-03 01:27:00.000,36,36270,0x787F0000010C00000000942B254100000040A3875741,7030127,7030126,7030125,7030115,7030100,7030000,305,691,38,2,89,32,2697,1,0.011865035224,0.032999629217,0.011865035224,0,0,1,0
68100230,1,6111,1121,15,0xE6100000010C3DF5B39B1627284057DD0E8880CF4B40,2015-07-03 01:28:00.000,35,36270,0x787F0000010C00000000902B254100000040A3875741,7030128,7030128,7030125,7030115,7030100,7030000,305,691,38,2,89,32,2697,1,0.011865035224,0.032999629217,0.011865035224,0,0,1,0
68100259,1,6112,1121,16,0xE6100000010C13AC9F73122728402633BC8E80CF4B40,2015-07-03 01:29:00.000,34,36270,0x787F0000010C000000008C2B254100000040A3875741,7030129,7030128,7030125,7030115,7030100,7030000,305,691,38,2,89,32,2697,1,0.011865035224,0.032999629217,0.011865035224,0,0,1,0
68100291,1,6113,1121,17,0xE6100000010C0018F2330E272840E61F254A80CF4B40,2015-07-03 01:30:00.000,33,36270,0x787F0000010C00000000882B254100000000A3875741,7030130,7030130,7030130,7030130,7030100,7030000,305,691,38,2,89,32,2697,1,0.011865035224,0.032999629217,0.011865035224,0,0,1,0
68100317,1,6114,1121,18,0xE6100000010CBED7DD0B0A2728408F6CD25080CF4B40,2015-07-03 01:31:00.000,32,36270,0x787F0000010C00000000842B254100000000A3875741,7030131,7030130,7030130,7030130,7030100,7030000,304,691,38,2,89,32,2697,1,0.011865035224,0.032999629217,0.011865035224,0,0,1,0
